DEBUG: Type: <class 'str'>, Content: 'hey'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hey"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hey"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hello"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "test", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "test", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hey"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "the"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "test"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hello"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hello"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "test", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "jordan", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "abc", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "hello"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "hi evie"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "hi there"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "how are you"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "ieace", "content": "hi"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "snthsn", "content": "im good thanks, how are you?"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "ieace", "content": "this is cool"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "ieace", "content": "it works!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "ieace", "content": "https://mail.google.com/mail/u/2/#chat/dm/jH8hsUAAAAE"}'
DEBUG: Type: <class 'str'>, Content: '{"sender": "test", "content": "hey"}'
